random_state,Unnamed: 0,R^2,MSE train,MSE test
0,0,0.9960221331343192,2769.926266042716,5601.987580274045
1,1,0.9950724252261224,3294.5011507826825,4527.341277476276
2,2,0.995329156912662,3260.694419288116,3478.071380818697
3,3,0.995441132245438,3377.506674051472,3109.400641962291
4,4,0.994611331780748,3526.1012308792583,5141.723796925004
5,5,0.995933381044809,2808.173482966128,5379.139909761051
6,6,0.995753465178315,2792.585551446629,5573.90662502343
7,7,0.9958684077986776,3068.0827116367186,4151.244770180802
8,8,0.99567077174191,3000.33414345498,4737.181888459343
9,9,0.995524951658846,3183.983680528785,4549.014032981395
10,10,0.9961598771131972,2569.981172382985,6568.297211638268
11,11,0.9957182656235456,3335.552585484436,4164.284803813317
12,12,0.9949064663862756,3074.86999035393,7909.20491763248
13,13,0.996150761149734,2447.6651982885605,7725.869871216722
14,14,0.9955949493690696,3217.3613639050022,4517.046761948102
15,15,0.9959392539724424,2774.9041237433034,7855.5718137812355
16,16,0.996166509298943,2586.002353172797,7280.45350686161
17,17,0.9956727417476386,3131.8515977830207,4471.8289876383415
18,18,0.9959038830989004,2976.5981844439293,4508.384936601875
19,19,0.9955264486919884,3519.199421859244,2778.1641638295955
20,20,0.9962439970408288,2905.8743269613906,4836.655798414973
21,21,0.9956225098679912,3221.5686138094475,4308.950829797895
22,22,0.9962620671176284,2552.751045458424,6502.8664021029535
23,23,0.994758193713766,3589.528466104213,3053.1398430225963
24,24,0.995939358915436,2907.9940868452104,5344.492566823605
25,25,0.9953849274916476,3091.284375181037,5153.217921960305
26,26,0.9963171560734886,2756.232906830858,6528.212979895389
27,27,0.9957723573345352,3040.1678075533787,5258.709246593406
28,28,0.9954091205535128,2789.11221230622,8428.910410094992
30,30,0.9955877522769836,3300.63714823608,3466.820961981806
31,31,0.996157680615643,2992.379221174049,5102.825744138911
32,32,0.995820375080812,2765.1214144615765,7456.357377976292
33,33,0.9957605302026896,2959.3589343519984,4730.618444886158
34,34,0.99579002238845,3217.6845218887424,4158.551640983165
35,35,0.9956447603903328,3179.8872592893517,4080.458105698012
36,36,0.9965255510570116,2571.8789298513666,7579.904161624573
37,37,0.9952757499964928,2920.3594667932825,8819.880405085734
38,38,0.995261049945856,3016.221849340682,6081.262688279418
39,39,0.9963921552288252,2859.119486714234,5444.329053728176
40,40,0.9961501106874454,2766.356597305984,4999.374691237553
41,41,0.9956580576631654,2849.1745722993264,5277.099062099073
42,42,0.995690490768674,2984.583169911128,4944.968164372522
43,43,0.9950747605705252,3456.542813082595,3336.675458504657
44,44,0.9954192897955892,2858.896140403569,5412.947003797374
45,45,0.9959511819572244,2887.094932740095,4895.4047896595
46,46,0.995478882510457,3135.9492429074,5731.698612959103
47,47,0.9952036543474584,3437.6116097865565,2925.760972126376
48,48,0.9956492356952488,3214.4773466950664,3808.8123736977495
49,49,0.9959109355705004,2822.077518840212,7241.770645516848
51,51,0.995664402819543,3112.4285345760877,4121.714788711692
52,52,0.9959327984189676,2750.3991928443065,9006.221249154532
53,53,0.99578522611513,2807.7705207399795,5406.831364200774
54,54,0.9953904497255764,3476.3695862435084,2699.7155823122603
55,55,0.9958406874124908,2786.324970831085,8979.069793900895
56,56,0.995517495598594,3112.708521500091,4205.946247409107
57,57,0.9955257818404328,2918.711947686608,7367.560404611769
58,58,0.9955742100900508,2879.623864007997,5969.839969357757
59,59,0.9956415984829544,2652.389121666933,9332.935392203815
60,60,0.9948180170029636,3355.166206286611,5869.696000666648
61,61,0.9958202505448718,2768.8678649925014,7090.531046546495
62,62,0.9955185727683412,3493.2384496449454,2766.839952275923
63,63,0.9956838081255672,3019.443922141389,7293.422278816933
64,64,0.9957499455750912,3158.334080620989,4127.113123751059
65,65,0.9958509031981044,2939.2125897181827,6211.81985008669
66,66,0.9952586224891294,3178.830320023233,3918.950320795792
67,67,0.9961597909289728,2551.127802853749,8581.865637702662
68,68,0.9959262232249748,2668.8548810459592,9631.19806648553
69,69,0.9960305554558516,2999.8820381961373,4319.635470942372
70,70,0.995889195505396,3035.212534904864,5094.107568237192
71,71,0.9956510659956964,2788.3422451888678,5638.023340573197
73,73,0.9957838232764544,2977.613595836141,5077.727994422233
74,74,0.9956555876987184,2694.734088882523,7569.443028493137
75,75,0.9956468960627496,3059.200410800396,5671.623902649114
76,76,0.995544292589329,3274.646947297343,3585.0833773155914
77,77,0.9954933746222688,3020.0218932618336,5690.972819112102
78,78,0.995217916548435,3001.6431696791587,5326.738330057344
80,80,0.9952500088626112,3401.738524017639,3142.29761894308
81,81,0.9955516986722868,3077.7286820199324,5383.526482438268
82,82,0.9955538578677444,3095.0555814234463,5315.376850472679
83,83,0.9961877061343636,2652.5852625031,6039.2915633251805
84,84,0.9955387017672188,3444.6716301926376,2804.3102281924043
85,85,0.9952032608613364,3107.3635982029564,5819.716779933791
86,86,0.9955991349063636,3019.4146714074395,4992.19919301777
87,87,0.9947054040486516,3301.7407843436804,3535.1487206709603
88,88,0.9956732770034928,3101.6618284697884,4361.867577577559
89,89,0.9952882115072106,3276.4532783431923,4450.654910684648
90,90,0.995462350502581,3193.3221655235016,4202.710006441517
92,92,0.9956158485914228,2705.4918420770487,7577.716003231027
93,93,0.995599155644469,3102.1919561869963,4413.427063287498
94,94,0.9956429867575955,3001.396168373415,6101.454960592928
95,95,0.9963041776904384,2683.4494421961663,8168.255916068622
96,96,0.9957375237389502,2816.537797731264,7049.066820452505
97,97,0.9951175271400032,3064.180403091022,6918.300323029487
98,98,0.9956515928606492,3059.548510782889,4426.216485946839
99,99,0.9951248810514344,3514.373220542697,2765.224951999701
100,100,0.9951797892176394,3288.230089243436,3873.83547157896
101,101,0.9960726554861612,2878.877124045505,6553.051976753802
102,102,0.9955636202702726,3297.2084489494887,3713.564209269589
103,103,0.9954801814337468,2772.931993720833,6835.664278175421
104,104,0.995433908220408,3365.258923966749,4167.971779684342
105,105,0.9950996938008154,2926.7020869915013,4713.850204361759
106,106,0.9960440884675362,2856.964751253276,5347.505475196402
107,107,0.9951028194894106,3307.0067499091524,3581.468660947226
108,108,0.9953515783034574,2917.689910450163,7302.797220420577
109,109,0.9966124441071884,2417.9478201885186,9472.29872659776
110,110,0.9950529589317968,3215.871380132985,3834.98682130386
111,111,0.995876488575374,2802.060364448708,6926.520419676909
112,112,0.9957269456411418,3175.3214707069365,5617.755625714713
113,113,0.995350931960254,2983.1402154052657,6374.42346450269
114,114,0.995663240921672,3265.7299224729377,3682.706534861967
115,115,0.995150694295502,2901.118699001485,5347.68730369251
116,116,0.9958145873684334,2908.421680427739,6017.333463204363
117,117,0.9958908318723696,2898.3352482603464,6383.485614878156
118,118,0.996066962631268,2902.1372818459054,5617.852906862858
119,119,0.9951973272863116,3293.29204712014,3984.545307331698
120,120,0.9959905208066168,3022.663944611006,4583.6597575242295
121,121,0.9959729938351534,2849.322603173037,7417.58384912439
122,122,0.9960683969281604,2588.3743487437587,8336.554305978749
123,123,0.9959879171745216,2896.7325174873968,5141.795051001247
124,124,0.995402210362994,3668.8643698319256,2241.9051621611297
125,125,0.996026052701552,2937.3300780977047,5565.326005901577
126,126,0.9962289230121528,2680.6519670002,7754.977801868449
127,127,0.9964997343338308,2761.819525519614,5229.747542276014
128,128,0.9955024683357664,3346.022780852747,4899.537424585446
129,129,0.995447715188983,3074.259062034055,4436.587348794814
130,130,0.995674084306958,3017.490753508536,4953.058647355089
131,131,0.994973491173004,3382.1090291151404,3246.4418107204424
132,132,0.9957970343464774,3167.5180513508326,4216.903426162282
133,133,0.9957570683997248,3099.846657083589,4437.459149289689
135,135,0.9956757137774066,2882.342956207713,6265.971677125565
136,136,0.9958082831657024,2810.406303884264,6266.722239599617
137,137,0.9958293230092709,2758.596925832435,7701.432631281911
138,138,0.9953656119506844,3398.9341130372954,3552.164680886384
139,139,0.9962206176597465,2747.3430658066427,6440.824827183748
140,140,0.9949730499771752,3455.367369595396,4225.930251391097
142,142,0.9954854639782428,3260.1874464214093,5505.5833075369965
143,143,0.995948825997674,2959.639991280812,5102.926768119069
145,145,0.9956617635153092,3035.180719233668,5907.116085197668
146,146,0.9956906164539034,2925.8348613231374,5782.681827006203
147,147,0.9948925614747476,3323.9192216420324,5230.236708774925
148,148,0.9954404196970842,3131.956082668945,4094.528235212092
149,149,0.99489609528343,3117.5657698048776,10179.112048751664
150,150,0.996088778252817,2941.8784868320613,4752.5692867431135
151,151,0.9959692820372958,2736.7763234213294,5322.707473230604
152,152,0.9952824443995169,3209.935038761907,5058.422395015668
153,153,0.9955413703297616,3352.944293264876,3268.619068533471
154,154,0.9959073092194324,2891.5080575558964,5398.529144402647
155,155,0.9957499795961112,2831.3885644680863,8533.261733346078
156,156,0.9957984255724436,2962.9448662489785,4881.772108496468
157,157,0.9950857038461304,2982.175775141299,8774.975493337995
158,158,0.9956739808620404,3078.8147648013933,4587.433571711238
159,159,0.99551868465812,3156.9301284149374,4429.877332948379
160,160,0.995592577670426,2732.5033096601032,9087.245474942158
161,161,0.9950241228075686,3185.284944592304,7728.244168962364
162,162,0.9959277317226608,3148.419387861449,4132.5284506598455
163,163,0.9952466799945648,2991.735616792761,5453.648088119564
164,164,0.996296719181396,2577.331437232293,8690.548853721442
165,165,0.9958366415035494,3111.852324644602,4036.685177584193
166,166,0.9964323888905046,2428.951773887607,7851.129671642439
167,167,0.995593923638844,3150.2298052843184,4338.504054551574
168,168,0.99565202057008,2991.0360242979173,5162.097610487532
169,169,0.994935808617363,3262.2034611232098,5049.749118579708
170,170,0.995714224481459,3048.6631475355857,4850.3484015366985
171,171,0.9960100853074344,2868.6537258568496,5083.3984835417
172,172,0.9954801402649978,3253.441276057089,4709.982794465538
173,173,0.9956852351496702,3389.888942508077,3261.9735964945016
175,175,0.9957428684807788,2786.02464311657,9427.13621291126
176,176,0.9954872443278484,3065.116048197726,4273.9701843511375
177,177,0.9954798738886216,3436.0613980393277,2878.2620518602275
178,178,0.995383767650098,3043.609437996264,7354.501770594086
179,179,0.996040275645439,2864.6095133289987,5340.506176321437
180,180,0.9955794791255034,3273.8710924177494,3740.21909903821
181,181,0.9957187389612138,3088.328662734606,5513.681315049673
182,182,0.9960468527084412,2792.8459034338503,8217.22770043771
183,183,0.9952102008655976,3219.247568447224,6152.747125910082
184,184,0.9954060208023928,3264.8391703405023,4296.357712948358
185,185,0.9960608495509766,2471.33949677024,7157.069522404871
186,186,0.9954454558111412,3376.8116633838736,4122.773682486571
187,187,0.9951928276440952,2702.935717604131,6666.608597684465
188,188,0.9954240620405244,3156.00416517772,4967.477654687724
189,189,0.9959575959044956,2987.259822007556,5780.098729867488
190,190,0.995327857302164,3567.2309400326494,2561.2321163576084
191,191,0.9956114861430512,2742.3094583250117,10517.531852717802
192,192,0.995211616165322,3306.2484976907026,3575.099612310197
193,193,0.9954191358174695,2722.091787208459,9495.410615455525
194,194,0.9955884156787173,2728.9070034302144,6398.299622354096
196,196,0.9956545853793806,3010.316493853657,4883.444589225205
197,197,0.995452108472523,3326.1745544207606,3537.105156860194
198,198,0.9956864222097228,2753.988684272944,6912.297604004627
199,199,0.9953482947120124,2948.77147490097,4873.528505126663
200,200,0.9954699661934696,3004.051753641117,5491.02708653876
201,201,0.9959597401982772,2854.047052868126,6843.405930726623
202,202,0.9955224494060404,2694.6309598730745,6591.35446599397
203,203,0.996010188285804,2758.773846863157,8510.2108693156
204,204,0.9952373582035318,3188.9389302655786,7074.893838339755
205,205,0.9950791994691124,3019.093834603401,5420.673293392192
206,206,0.9953266348380718,3291.6298909113902,3502.8498726864577
207,207,0.9951123211672028,3650.794334226516,2239.229532122435
208,208,0.995605167449764,2880.5178431496133,6441.008980961448
209,209,0.9954172728709308,3123.3246562798254,4417.315548438525
210,210,0.9956978259792169,3434.2398879453017,3255.777284174968
211,211,0.9950009833218216,3500.485018303124,2980.552045825541
212,212,0.995266804559958,3426.582906084301,3853.642648847893
213,213,0.9958652614782256,2984.9834614274077,5408.602983058765
215,215,0.9957001291120566,3381.338249641665,3334.49434153025
216,216,0.9958613733277832,2931.8972411428867,5404.870974058613
217,217,0.9955225846910524,2971.1749818235166,5183.945017645261
218,218,0.9963047306377244,2627.864743813081,6454.626386102575
219,219,0.9955730887004476,3223.848165029505,3806.742304482128
220,220,0.9951461601839142,3067.6720326093487,5371.609657036056
221,221,0.995921485596162,3030.4518196856266,5173.579818584691
222,222,0.9954134341113138,2952.06276497944,8474.746087746007
223,223,0.9960853060514906,2986.581932069526,4773.222160965183
224,224,0.9954465079903588,3186.1295831135785,3990.20468348414
226,226,0.9956162422985286,3285.929405551572,3713.030008127696
227,227,0.9955706440348052,3160.622654868416,4401.032034814896
228,228,0.9949752609423644,3145.686207770159,5346.923480625438
230,230,0.9959501737148192,2845.45209410664,5504.091501729808
231,231,0.9958290860811068,2980.771769171443,8069.10445263677
232,232,0.995864867527691,2893.878397673468,5597.90193271129
233,233,0.995263665825142,3314.0616977962923,5007.367001015315
234,234,0.9959563977711892,2770.3946294437924,8226.95425588953
235,235,0.9958062699325476,3119.2716484920743,4882.233441596367
236,236,0.9956314247069702,2874.3472799185174,8317.002194350496
237,237,0.994973480081166,3362.258092054737,3306.86255769108
238,238,0.995688888676728,2861.3957424684963,4906.549584059331
239,239,0.9954435426371212,3509.377779197984,3114.013606932885
240,240,0.9955908019914887,3033.0927636506867,4979.682483121854
241,241,0.9960648837900324,2650.8932276114256,5822.408062118323
242,242,0.995519813415055,2960.704267483861,5078.3902315377145
243,243,0.9957728471330722,2954.4424419263346,4861.735996134888
244,244,0.9962169159316456,3011.1584188921283,5144.25508380433
245,245,0.9954629486761905,3373.9676124930065,3513.3703837591715
246,246,0.9960177645653232,2576.9163715462823,6039.10051626764
247,247,0.9955672255375696,3137.311772555503,3988.0604115250057
248,248,0.9957483156995436,3092.5025089839014,4653.723016893137
249,249,0.995108616819074,3151.8983325773306,5702.854350950843
250,250,0.9951088413711175,3232.870961540869,5258.130528777799
251,251,0.9958413326738816,3203.145923791817,3844.665736526242
252,252,0.9956984681478684,3036.096266958278,6069.649022570481
253,253,0.9957708129907306,3135.5082808086145,4229.146290914194
254,254,0.9953445444147072,3256.729482766645,4241.374548441394
255,255,0.9957750498178034,3014.9314961348477,4454.148085280317
256,256,0.996287873129434,2540.2934738635336,6641.063750992842
257,257,0.995458489072342,2969.903496728071,5409.65319782899
258,258,0.995291042349608,3415.656222674351,3186.280267783755
259,259,0.9958924170425868,3241.080773119078,3923.812899721755
260,260,0.9961010010860484,2924.419310726245,5301.747695740449
261,261,0.9957573316017276,3190.888192824825,4678.694201105268
262,262,0.995666399297591,2827.349566879365,8743.319462693333
264,264,0.9959802258863782,2837.00255855397,5393.059502586856
266,266,0.9960067158293008,2878.3335344276943,5213.287427079253
267,267,0.9957022390210012,3436.2843562515154,3401.411263146193
268,268,0.9953519723468552,3308.9919549305014,4557.796082915225
269,269,0.996219987866314,2701.9196395533204,7095.4945079324025
270,270,0.9960602877769372,2420.0241843062918,8561.688620385215
271,271,0.9958320498332058,3010.5360065964032,5541.824719358856
272,272,0.9958106618629348,2598.69986344321,10436.006144229415
273,273,0.9953818522018576,3062.207529004341,4574.711982924343
274,274,0.995142283179082,3233.3626039120973,4457.210605593471
275,275,0.99543851547442,3224.041344379771,4301.661925319116
276,276,0.996098155892826,2526.1547978084773,7850.058675365142
277,277,0.9958727866809832,2854.648593643236,5241.870005558355
278,278,0.9962055217059416,2861.276242796781,5629.083797709709
279,279,0.9955704425011288,3191.5869215124085,3930.220002303646
280,280,0.9959585229819874,2997.88728562648,4894.949958699307
281,281,0.9953198543085034,2997.72390311578,4761.915172166545
282,282,0.9956896112239136,2700.8015151628865,9040.086041645773
283,283,0.996079673946356,2847.474174022796,5914.614231578379
284,284,0.9953776472278713,3237.3878427265427,5575.507389571153
285,285,0.9959016833032978,2988.0617769852083,4989.034042845017
286,286,0.9963853581950096,2783.365842601336,5744.571467987737
288,288,0.9952326216561884,3257.53665070683,3886.454369893292
289,289,0.9960643326060415,3101.140729513238,4257.549270793773
290,290,0.995200658324141,3720.81477011071,1950.4524112212607
291,291,0.9956757754001252,2900.352273819687,5703.448554961796
292,292,0.9955703080649956,3235.8098806390058,3997.491187565802
293,293,0.9965227947155672,2502.162155633196,9589.118946720448
294,294,0.9956183998750672,3345.462436760248,3882.263073873459
295,295,0.9958427085591416,3118.083242660948,4553.358241156792
296,296,0.9954172778530206,3384.1242321245627,3118.7305343684025
297,297,0.9960085755629008,2693.5501972085085,6119.666840327029
298,298,0.9955021067524716,3292.4841494551856,3374.5216108159125
299,299,0.9956550897361824,3458.699605599324,2898.1866339002104
300,300,0.9960766361577312,2603.988021749916,7169.314590836297
301,301,0.9954743175229044,3250.327788868702,3517.58031173626
302,302,0.9961758825171854,2858.4238997532566,9048.06642184848
303,303,0.9959684697584512,3083.658382995969,4637.855053885548
304,304,0.9953042057335512,3145.3514842430677,7349.768123152768
305,305,0.9956532707695273,3112.511095449266,4487.14833203488
306,306,0.9949815165328684,3482.853316974992,3512.8163046199365
307,307,0.9959772676510998,3012.4474546688784,4873.033893910517
308,308,0.9959163800862586,3042.34287714984,4694.477041647678
309,309,0.99526835209566,3316.9943619482765,6459.676333374839
310,310,0.9956930491738744,3323.745028457508,3884.219171824536
311,311,0.9963686061611516,2836.174675827175,5503.807106964075
312,312,0.995951245465024,2836.614397376716,5628.636245219788
313,313,0.9953094647689908,2931.920182090845,7536.28583550452
314,314,0.9958557540206484,2941.155695199056,5020.802339090687
315,315,0.994969638967452,3308.492595136392,3778.739270037589
316,316,0.9954775896651894,2996.8375233196416,5425.286894924335
317,317,0.9952509559432614,3242.0345387545653,7309.335894750578
318,318,0.9955320251448592,3272.887270919721,3703.8181696135007
319,319,0.9955431990044415,3416.7975437740797,3085.1815457211687
320,320,0.9955560514280888,2798.045679050305,5445.191749758469
321,321,0.9960725840763702,2954.4683201658268,4804.338088350794
324,324,0.996039223324962,2863.254083212925,6117.4453505217725
325,325,0.9960964832963408,3015.287685926889,4614.326404262397
326,326,0.9956876363101976,3022.3871447343386,5044.5400283152585
327,327,0.9946869728746716,3250.74847212183,8876.400607785521
